timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-08-15,0.00038640,0.00210000,0.00038640,0.00058150,4914441.25000000,1597535999999,4140.25638953,162601,2134682.17000000,1784.07136654,0
2020-08-16,0.00058490,0.00065250,0.00048250,0.00048700,2141033.44000000,1597622399999,1188.97984069,62207,860324.97000000,482.67685173,0
2020-08-17,0.00048670,0.00049410,0.00034400,0.00035700,3892071.25000000,1597708799999,1546.34502783,79699,1575666.47000000,625.79142933,0
2020-08-18,0.00035700,0.00036500,0.00026950,0.00030080,5278486.02000000,1597795199999,1623.96355211,96560,2178914.84000000,674.64713848,0
2020-08-19,0.00030130,0.00042690,0.00028200,0.00033420,6992739.28000000,1597881599999,2569.08440971,130635,3221551.19000000,1188.10987266,0
2020-08-20,0.00033410,0.00039660,0.00032200,0.00032760,3101075.79000000,1597967999999,1097.51909076,59168,1317977.24000000,468.05345900,0
2020-08-21,0.00032780,0.00034430,0.00027820,0.00028020,2640706.44000000,1598054399999,821.18950018,50658,1056642.98000000,330.58286548,0
2020-08-22,0.00028020,0.00028500,0.00023750,0.00026280,2470652.52000000,1598140799999,631.20585417,40143,997886.95000000,254.80272505,0
2020-08-23,0.00026190,0.00026640,0.00022110,0.00023120,1859301.72000000,1598227199999,446.16879552,32871,783110.57000000,187.96738176,0
2020-08-24,0.00023050,0.00026000,0.00022410,0.00024690,2221540.08000000,1598313599999,547.78257155,31288,1016242.66000000,251.32300281,0
2020-08-25,0.00024610,0.00028550,0.00024040,0.00025240,2924547.00000000,1598399999999,763.53462427,47245,1254374.59000000,328.75066228,0
2020-08-26,0.00025240,0.00036090,0.00024790,0.00031070,5174134.98000000,1598486399999,1587.10783219,84205,2510717.03000000,771.21405894,0
2020-08-27,0.00031030,0.00037910,0.00028510,0.00029540,5412751.37000000,1598572799999,1800.70110018,98437,2506201.29000000,837.39592673,0
2020-08-28,0.00029540,0.00034930,0.00029480,0.00030620,2548968.52000000,1598659199999,810.37077360,46090,1113756.41000000,355.13159848,0
2020-08-29,0.00030610,0.00030670,0.00026760,0.00027030,2124372.66000000,1598745599999,612.00012739,28558,890210.07000000,257.00127251,0
2020-08-30,0.00027100,0.00032340,0.00026880,0.00030300,3835881.99000000,1598831999999,1153.57712530,57576,1763401.12000000,531.31453509,0
2020-08-31,0.00030380,0.00038190,0.00029120,0.00037150,4940728.25000000,1598918399999,1609.35763402,69477,2242728.88000000,735.81562374,0
2020-09-01,0.00037190,0.00047990,0.00035400,0.00044820,12837459.35000000,1599004799999,5329.88770483,211316,6312855.65000000,2628.08027622,0
2020-09-02,0.00044730,0.00046400,0.00033630,0.00038020,6134015.95000000,1599091199999,2376.42189177,129356,2801999.44000000,1087.43951556,0
2020-09-03,0.00038000,0.00038200,0.00027510,0.00028770,5910419.18000000,1599177599999,1930.97867461,93561,2508798.05000000,822.12176090,0
2020-09-04,0.00028740,0.00031290,0.00026600,0.00027310,3597285.30000000,1599263999999,1035.35374279,55064,1669098.79000000,481.73608221,0
2020-09-05,0.00027310,0.00029330,0.00015690,0.00018720,5270130.10000000,1599350399999,1178.41454051,60661,2341628.91000000,526.35849296,0
2020-09-06,0.00018720,0.00022660,0.00015200,0.00021110,6960324.72000000,1599436799999,1370.97294881,64609,3354998.20000000,659.00215865,0
2020-09-07,0.00021070,0.00022300,0.00017280,0.00020230,3463206.16000000,1599523199999,677.97575390,41489,1595098.89000000,311.76186062,0
2020-09-08,0.00020240,0.00020280,0.00017900,0.00018180,2452425.38000000,1599609599999,461.00825715,30830,1111449.96000000,209.20859903,0
2020-09-09,0.00018160,0.00020930,0.00017630,0.00019280,4088071.80000000,1599695999999,787.09276533,41948,2016069.98000000,388.87414372,0
2020-09-10,0.00019280,0.00021030,0.00018790,0.00018950,4841497.78000000,1599782399999,961.38213875,46520,2317344.87000000,460.63890974,0
2020-09-11,0.00018940,0.00019390,0.00016680,0.00018340,4673484.11000000,1599868799999,844.18436978,46079,2261320.29000000,409.22634823,0
2020-09-12,0.00018300,0.00020550,0.00017510,0.00020130,6856878.50000000,1599955199999,1322.17656207,59056,3460399.89000000,667.78781962,0
2020-09-13,0.00020130,0.00020550,0.00017280,0.00018490,4707712.83000000,1600041599999,882.41236984,49574,2269820.68000000,425.39195611,0
2020-09-14,0.00018510,0.00018570,0.00017060,0.00017290,2658438.30000000,1600127999999,472.35696666,26765,1259343.81000000,223.71186489,0
2020-09-15,0.00017290,0.00018100,0.00012420,0.00013110,5614005.90000000,1600214399999,846.05017215,46386,2475528.62000000,374.75991060,0
2020-09-16,0.00013130,0.00013420,0.00010900,0.00011700,6537275.84000000,1600300799999,793.78140623,39364,3320531.41000000,405.07764120,0
2020-09-17,0.00011690,0.00013220,0.00011040,0.00012200,4467986.34000000,1600387199999,534.97288993,29252,2266748.19000000,272.04570634,0
2020-09-18,0.00012190,0.00013100,0.00011220,0.00011510,4855066.21000000,1600473599999,588.35783220,27286,2378983.74000000,288.82226453,0
2020-09-19,0.00011500,0.00014880,0.00011310,0.00013370,7900097.74000000,1600559999999,1048.65402928,46604,3903110.27000000,518.43042075,0
2020-09-20,0.00013370,0.00014900,0.00012020,0.00012470,7580543.99000000,1600646399999,1019.98930117,50487,3685281.37000000,495.96691382,0
2020-09-21,0.00012420,0.00012770,0.00010320,0.00010480,7474508.52000000,1600732799999,848.07557553,36410,3558965.76000000,404.31449579,0
2020-09-22,0.00010480,0.00010980,0.00009740,0.00010240,5095117.38000000,1600819199999,526.77723864,26007,2397381.23000000,247.90897870,0
2020-09-23,0.00010240,0.00010750,0.00008530,0.00008650,4844319.31000000,1600905599999,463.69399098,25299,2253460.79000000,216.54267954,0
2020-09-24,0.00008690,0.00009450,0.00008580,0.00009250,4797405.33000000,1600991999999,432.58393474,17373,2295099.51000000,206.98241960,0
2020-09-25,0.00009260,0.00009710,0.00008320,0.00009130,6613072.16000000,1601078399999,590.98789531,23198,3234832.84000000,289.18998088,0
2020-09-26,0.00009130,0.00010650,0.00009080,0.00010370,5611751.83000000,1601164799999,554.98611357,23642,2805850.14000000,277.73502078,0
2020-09-27,0.00010400,0.00010530,0.00009240,0.00009630,3993786.73000000,1601251199999,391.54111905,16286,1958383.57000000,192.09680466,0
2020-09-28,0.00009640,0.00010080,0.00009170,0.00009370,3208174.45000000,1601337599999,307.63070603,14338,1524585.34000000,146.53476271,0
2020-09-29,0.00009360,0.00009520,0.00008520,0.00008780,2548524.28000000,1601423999999,230.65197730,11742,1215580.84000000,110.15716012,0
2020-09-30,0.00008780,0.00008980,0.00008500,0.00008820,2269862.08000000,1601510399999,197.88991979,9270,1011150.45000000,88.12038219,0
2020-10-01,0.00008790,0.00009090,0.00007890,0.00008130,4162842.73000000,1601596799999,348.58131563,14279,1988059.48000000,166.53909924,0
