timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-09-30,10.00000000,10.77000000,9.80800000,9.88500000,22770.92000000,1601510399999,232083.47438000,310,3385.99000000,34411.16568000,0
2020-10-01,9.88500000,10.83100000,8.26400000,9.30600000,72097.00000000,1601596799999,700549.82203000,1070,42767.79000000,418759.24408000,0
2020-10-02,9.43700000,12.47400000,9.43700000,10.57000000,57679.37000000,1601683199999,631798.87956000,1537,36863.27000000,405446.83571000,0
2020-10-03,10.48400000,10.83400000,9.50000000,10.45000000,15257.40000000,1601769599999,158122.91715000,495,8058.89000000,84249.36381000,0
2020-10-04,10.45200000,12.00000000,10.45200000,11.28500000,43681.34000000,1601855999999,494107.67957000,494,13644.00000000,154052.41864000,0
2020-10-05,11.17500000,14.43000000,11.10000000,13.25000000,95709.01000000,1601942399999,1266778.49733000,1600,44217.48000000,585564.47131000,0
2020-10-06,13.14800000,20.00000000,13.14200000,18.97600000,110646.25000000,1602028799999,1794670.31636000,2725,52250.34000000,851023.25532000,0
2020-10-07,19.02900000,22.42300000,15.00400000,15.30600000,110342.60000000,1602115199999,2043649.19562000,4650,46625.10000000,874892.57731000,0
2020-10-08,15.51000000,18.55500000,10.82000000,11.40500000,433449.44000000,1602201599999,5631950.29045000,12598,199350.74000000,2599810.77877000,0
2020-10-09,11.50900000,12.40900000,10.20000000,11.25000000,383497.21000000,1602287999999,4300591.07648000,7683,181219.10000000,2039597.57177000,0
2020-10-10,11.30500000,12.03000000,9.70000000,11.86700000,211395.06000000,1602374399999,2332301.88002000,3090,99945.39000000,1103875.45300000,0
2020-10-11,11.86700000,12.66500000,10.70300000,11.35000000,205287.57000000,1602460799999,2412817.90409000,4393,108544.31000000,1277130.52491000,0
2020-10-12,11.39800000,11.73100000,9.58100000,10.71300000,198397.94000000,1602547199999,2122237.40369000,3568,106867.13000000,1144526.67431000,0
2020-10-13,10.54600000,11.84200000,10.26900000,11.41700000,166117.35000000,1602633599999,1842487.99751000,2489,83947.03000000,929839.19023000,0
2020-10-14,11.34100000,14.61200000,10.77000000,13.12400000,216792.05000000,1602719999999,2678262.88280000,7037,125770.63000000,1556937.87093000,0
2020-10-15,13.24700000,14.94900000,12.80600000,13.62100000,259209.50000000,1602806399999,3576400.00182000,5603,128672.24000000,1778306.22803000,0
2020-10-16,13.61400000,15.44800000,10.99200000,12.79400000,284133.58000000,1602892799999,3494547.63476000,5263,145062.47000000,1777519.56268000,0
