timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-12-11,10.00000000,11.50000000,9.66200000,11.50000000,15443.65000000,1607731199999,162375.06650000,605,6862.60000000,71535.92772000,0
2020-12-12,11.55100000,11.55200000,9.33200000,10.28200000,16901.34000000,1607817599999,171579.27824000,706,13432.86000000,136620.92264000,0
2020-12-13,10.05800000,10.72000000,7.50200000,7.62500000,62677.91000000,1607903999999,510545.38034000,2428,32487.67000000,266569.62041000,0
2020-12-14,7.57800000,8.70800000,7.35300000,8.31900000,70680.82000000,1607990399999,573848.20735000,3891,41307.90000000,336606.62875000,0
2020-12-15,8.19900000,8.94000000,7.57400000,8.77500000,28514.78000000,1608076799999,237007.15300000,786,20701.79000000,172481.23410000,0
2020-12-16,8.78900000,9.64100000,5.50000000,5.65800000,31903.13000000,1608163199999,242996.19727000,1586,14573.37000000,113686.56206000,0
2020-12-17,5.52400000,6.30000000,4.55100000,5.90000000,36201.28000000,1608249599999,201751.88347000,1711,17601.72000000,97314.87202000,0
2020-12-18,6.05000000,6.46200000,5.65600000,5.99100000,13866.98000000,1608335999999,84091.59495000,515,7756.51000000,47302.92299000,0
2020-12-19,5.98900000,6.29000000,5.87400000,6.18800000,9215.86000000,1608422399999,56244.27232000,365,6466.05000000,39510.68805000,0
2020-12-20,6.28100000,6.77000000,5.98800000,6.47100000,6795.37000000,1608508799999,43726.34356000,309,1686.63000000,10841.72108000,0
2020-12-21,6.63600000,8.20000000,6.17400000,7.52800000,19706.92000000,1608595199999,149210.67290000,755,12815.78000000,97211.32380000,0
2020-12-22,7.63300000,9.03200000,7.14800000,8.07100000,43855.59000000,1608681599999,357904.90982000,1280,24918.78000000,202634.60670000,0
2020-12-23,8.12400000,17.40000000,8.11200000,12.07500000,72111.09000000,1608767999999,839627.99923000,2754,43685.22000000,503592.48510000,0
2020-12-24,11.76600000,12.54800000,5.46600000,6.10100000,192733.27000000,1608854399999,1401670.76737000,3522,104672.00000000,755901.98180000,0
2020-12-25,6.22100000,7.19100000,5.51000000,6.76400000,94062.82000000,1608940799999,610124.84625000,1980,57136.74000000,371271.36234000,0
2020-12-26,6.82200000,7.53400000,6.51700000,7.30000000,21579.17000000,1609027199999,152430.71660000,1103,13799.22000000,97795.22188000,0
2020-12-27,7.50000000,8.48800000,6.20100000,7.16800000,38915.22000000,1609113599999,278157.43973000,1220,13156.35000000,98381.85358000,0
2020-12-28,7.50200000,7.76800000,6.31200000,7.41400000,12386.27000000,1609199999999,88730.03719000,505,7505.67000000,54101.78116000,0
2020-12-29,7.46000000,9.39500000,7.13900000,7.73400000,63612.18000000,1609286399999,519879.11598000,1959,28492.16000000,233176.74072000,0
2020-12-30,7.76700000,9.30000000,7.58400000,8.78500000,40753.08000000,1609372799999,357918.87739000,1264,27646.65000000,243940.62586000,0
2020-12-31,8.90200000,10.27600000,8.63400000,9.50900000,45066.35000000,1609459199999,437432.47066000,1600,29555.29000000,285998.68315000,0
2021-01-01,9.50900000,9.53700000,7.33600000,8.47200000,35854.26000000,1609545599999,300017.41870000,1189,26085.79000000,219019.16252000,0
2021-01-02,8.57000000,9.30000000,8.16300000,9.12500000,14667.47000000,1609631999999,127790.47629000,892,9596.74000000,83185.49555000,0
2021-01-03,9.24000000,9.77400000,7.49000000,7.91500000,28591.68000000,1609718399999,234502.45724000,1324,14987.15000000,123923.92680000,0
2021-01-04,7.82500000,8.11700000,3.81900000,4.02500000,384562.94000000,1609804799999,1866090.07197000,6116,222332.71000000,1067042.10322000,0
2021-01-05,4.00800000,4.80500000,2.37700000,2.71500000,1697032.89000000,1609891199999,5360720.98778000,13884,907057.18000000,2841479.75785000,0
2021-01-06,2.69900000,2.75000000,0.36500000,0.38500000,79658359.22000000,1609977599999,48784194.42171000,88411,38913113.20000000,23631419.12681000,0
2021-01-07,0.38400000,0.42800000,0.21500000,0.30400000,126591337.41000000,1610063999999,36892974.17973000,49166,61470293.23000000,17893933.92976000,0
2021-01-08,0.30300000,0.42600000,0.22900000,0.29600000,59030914.47000000,1610150399999,17715088.99456000,27406,26939981.37000000,8108113.79242000,0
2021-01-09,0.29300000,0.34000000,0.22100000,0.25300000,21951647.28000000,1610236799999,6154523.35560000,11225,9891744.14000000,2779477.49143000,0
2021-01-10,0.25000000,0.35500000,0.22600000,0.28900000,34411813.27000000,1610323199999,9804818.20116000,12222,14869386.59000000,4241141.21584000,0
2021-01-11,0.29000000,0.53400000,0.26300000,0.27500000,48676211.87000000,1610409599999,18061141.44054000,22762,23829705.10000000,8804620.84086000,0
